match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5510058729,1,4,1,-50,-446.763585164625,247.002599302674,-0.18358015043609488,0.3017740429505135
NA1_5517155177,1,4,1,525,-1888.79802393164,288.496955272771,0.15927195229102453,0.12857142857142856
NA1_5505443808,1,3,-2,100,-495.539606014877,123.145138454445,0.0007132282138201902,-0.023809523809523808
NA1_5511408313,0,4,-1,-675,1335.26438303584,110.957957649455,-0.12319314199109596,0.13333333333333333
NA1_5518805357,1,4,1,75,291.92712798747,-66.813523828557,0.021590184862044684,0.5
NA1_5519227694,0,4,-1,-725,1070.52176552403,-696.638614375364,-0.09260967107402604,1.4154678654678654
NA1_5518012634,0,4,1,-50,-154.707809580199,-406.755252635063,0.2458737044870717,-0.06068376068376068
NA1_5485786770,0,6,3,-350,1026.23840036781,354.956887346247,-0.007419917311133333,-0.5804112554112554
NA1_5514097505,1,6,2,-350,904.252421262699,-212.050107534281,0.2612272863402562,-0.5083333333333333
NA1_5519119490,0,4,0,120,-314.819120065862,-89.809073844755,-0.17886132358651952,0.4517316017316017
NA1_5519186502,1,6,1,-375,1260.17657396847,-287.727156622012,-0.21660634838547657,-0.37142857142857144
NA1_5519315838,0,5,2,-275,-255.965838355765,-387.864134041299,-0.10489236212097723,0.387719298245614
NA1_5515911204,1,5,0,800,1629.64754988564,339.255827406254,-0.12585772766959893,0.20357142857142857
NA1_5518865139,1,4,0,-375,1896.93434100185,474.071718609809,0.19452466501723517,1.0897519147519148
NA1_5509863409,1,6,0,-25,329.469903448991,156.54390998361,0.012825232578501952,1.0904761904761904
NA1_5519235044,1,3,0,250,260.822785974189,64.122118430989,-0.10738399493448905,-0.5761904761904761
NA1_5518093788,1,4,0,375,-308.901434782214,-322.560145719044,0.10281664613992884,-0.06666666666666667
NA1_5518662562,0,6,-1,-25,-243.443408880245,-1059.334601264936,0.051510107643032044,-0.26334776334776333
NA1_5519240151,1,2,1,25,647.955838329489,441.991727225984,-0.011593902474535029,-0.5880701814525344
NA1_5518741418,1,5,3,-550,69.4887214214787,271.433711435997,-0.10581948333656155,-0.5464285714285714
NA1_5519092748,1,3,-1,-250,353.955535725716,-1053.3063786091,-0.03450385936822522,-0.23636363636363636
NA1_5519166431,1,4,0,50,-1115.07161728209,-350.213519822531,-0.09656830971953209,-0.6666666666666666
NA1_5488630835,0,6,0,425,-1039.05860258785,-26.808621438124,0.23167887777485544,-0.366504329004329
NA1_5487896110,1,2,0,50,214.379020513157,-198.125375627383,0.24980714691373304,0.0
NA1_5518657328,0,5,1,-275,1580.53613627333,-99.748204152361,0.20090642233069284,0.18055555555555555
NA1_5516425414,0,4,1,-775,1480.53854684739,-428.342857541444,-0.04624835387370093,-0.3047619047619048
NA1_5512851176,0,6,2,-500,883.921470515532,-873.005965353228,-0.16057576339563603,-0.13333333333333333
NA1_5512422213,1,6,1,-275,640.734190044333,298.315296675004,-0.0154590507531684,-0.07142857142857142
NA1_5517185732,1,3,2,-250,1604.03248800396,558.876759564855,0.09494824505775129,0.43333333333333335
NA1_5517356029,0,5,1,175,666.813968445822,-99.820862092475,0.11895903016326319,-0.7476190476190476
NA1_5486365063,0,4,1,25,1087.95967451096,8.258096648244,-0.05455115920058523,-0.49393939393939396
NA1_5506319056,1,2,0,-700,193.848287269962,680.584187042428,-0.06906861071323941,-0.3736842105263158
NA1_5510496421,1,7,3,-1200,1081.13635480629,-927.849242366403,0.2214007422607516,0.2619047619047619
NA1_5518541911,1,5,0,-125,691.457978041577,55.374373003112,0.005365003519979736,0.5166666666666667
NA1_5519026005,1,3,-1,700,-433.834845179145,213.436426426544,-0.3617857741001439,0.5023809523809524
NA1_5517111478,0,6,3,0,-425.386872314298,-26.313367247462,0.05614311540246309,-0.7692307692307693
NA1_5517144616,0,5,1,350,421.071416384514,-280.124638867861,0.26096476865736407,-0.18571428571428572
NA1_5512672297,1,4,1,-475,1192.27046569377,457.441564718253,0.02274328859659076,-0.48095238095238096
NA1_5519128314,1,4,0,250,-671.164783768867,657.344554558803,-0.2469216887750643,-0.5441919191919192
NA1_5519181796,0,5,0,300,1093.47960836235,539.341042547794,0.2287520036956853,-0.06666666666666667
NA1_5519360946,0,5,0,-50,1875.85031667044,-298.959621196416,0.013595620996936786,-0.12301587301587301
NA1_5519285941,0,6,1,-700,806.607068576734,-386.334049210406,0.03139509394291356,-0.5541666666666667
NA1_5517866571,0,6,2,-1050,1560.27197403731,-415.772155568019,-0.129053738111587,1.034920634920635
NA1_5516529400,0,3,0,1075,-2039.92001625917,-231.887622721379,-0.1330313197113875,0.5816946211683054
